SPÓŁDZIELNIA SOCJALNA "POŻYWIENIE - DAREM SERCA";0000626144;5252669082;36497383500000;UL. KS. JERZEGO POPIEŁUSZKI 14;117;01-590;WARSZAWA;;SPÓŁDZIELNIA;13.07.2016;52.26937025;20.976370042982047
SPÓŁDZIELNIA SOCJALNA 4SMART;0000608681;9512409352;36401494500000;UL. GROCHOWSKA 178/184;;04-357;WARSZAWA;;SPÓŁDZIELNIA;22.03.2016;52.2453676;21.0899333
SPÓŁDZIELNIA MIESZKANIOWA "SPÓŁDZIELNIA RAZEM";0000597910;5272757808;36360854200000;UL. PAŃSKA 98;72;00-837;WARSZAWA;;SPÓŁDZIELNIA;26.01.2016;52.230768;20.9893643
SPÓŁDZIELNIA MIESZKANIOWA "WSPÓLNY DOM";0000596023;1132901060;36350275000000;UL. SEROCKA 3;25;04-333;WARSZAWA;;SPÓŁDZIELNIA;12.01.2016;52.2434614;21.0985479
SPÓŁDZIELNIA SYSTEMU OCHRONY ZRZESZENIA BPS;0000572997;5272743717;36240726700000;UL. GRZYBOWSKA 81;;00-844;WARSZAWA;;SPÓŁDZIELNIA;31.08.2015;52.2327806;20.9801334
ŁÓDZKA SPÓŁDZIELNIA GRUPA PRODUCENTÓW MLEKA;0000560384;5252622666;36188381800000;UL. HOŻA 66/68;;00-682;WARSZAWA;;SPÓŁDZIELNIA;26.06.2015;52.2252993;21.0095174
SPÓŁDZIELNIA SOCJALNA KOOPERATYWY GROCHOWSKIEJ;0000562918;1132891887;36185146800000;UL. LUDWIKA MICHAŁA PACA 40;;04-386;WARSZAWA;;SPÓŁDZIELNIA;24.06.2015;52.249019700000005;21.083404437249374
SPÓŁDZIELNIA SOCJALNA BIZ W LIKWIDACJI;0000525466;5252599074;14749427000000;DUCHNICKA 3;89;01-796;WARSZAWA;;SPÓŁDZIELNIA;27.10.2014;52.2565482;20.96967781985195
SPÓŁDZIELNIA MIESZKANIOWA KABATY SEGMENTY W LIKWIDACJI;0000511080;9512379993;14725641200000;UL. WITA STWOSZA 50;4A;02-661;WARSZAWA;;SPÓŁDZIELNIA;27.05.2014;52.17894815;21.019618648017115
SPÓŁDZIELNIA SOCJALNA "EDUKATOR";0000504961;5252589354;14723210400000;UL. LUDWIKA RYDYGIERA 8 BUD.19;;01-793;WARSZAWA;;SPÓŁDZIELNIA;12.05.2014;n;n
SPÓŁDZIELNIA SOCJALNA "PIEKIEŁKO";0000502673;6652993734;30267632400000;UL. MARSZAŁKOWSKA 58;15;00-545;WARSZAWA;;SPÓŁDZIELNIA;20.03.2014;52.2238932;21.01585296368421
SPÓŁDZIELNIA SOCJALNA "POŻYTECZNI";0000493256;9512376316;14707087700000;PUSZCZYKA 3;27;02-785;M. ST. WARSZAWA;;SPÓŁDZIELNIA;22.01.2014;52.1575396;21.022410078423103
SPÓŁDZIELNIA SOCJALNA "PIĘKNE MIEJSCE";0000489771;5223011664;14701016000000;TRAKTORZYSTÓW 26;;02-495;WARSZAWA;;SPÓŁDZIELNIA;09.12.2013;52.197365899999994;20.886019842995154
SPÓŁDZIELNIA SOCJALNA "KTO RANO WSTAJE";0000479996;5272702701;14691233400000;UL. GEN. KAZIMIERZA SOSNKOWSKIEGO 29;;02-495;WARSZAWA;;SPÓŁDZIELNIA;07.10.2013;52.1929921;20.8859472
PAŁAC W KRUSZEWIE - SPÓŁDZIELNIA MEDYCZNA;0000469897;5272697006;14678483000000;UL. GRZYBOWSKA 87;;00-844;WARSZAWA;;SPÓŁDZIELNIA;16.07.2013;52.2322665;20.977763
SPÓŁDZIELNIA MIESZKANIOWA KOWIEŃSKA 9;0000451702;1132863112;14654591800000;KOWIEŃSKA 9;;03-438;WARSZAWA;;SPÓŁDZIELNIA;19.02.2013;52.26304605;21.039961651099876
"SPOŁEM" SPÓŁDZIELCZY OŚRODEK WYPOCZYNKOWY "ZORZA";0000451442;5213644511;14654824200000;GRAŻYNY 13/15;;02-548;WARSZAWA;;SPÓŁDZIELNIA;19.02.2013;52.2038215;21.0208395
SPÓŁDZIELNIA SOCJALNA WITALIZACJA;0000412527;5252529501;14606188200000;UL. KIERMASZOWA 14A;;01-364;WARSZAWA;;SPÓŁDZIELNIA;27.02.2012;52.2335471;20.916740455421785
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "SKARBOWIEC";0000410983;5250007046;00049054700000;GRÓJECKA 41;;02-031;WARSZAWA;;SPÓŁDZIELNIA;13.02.2012;52.21699205;20.982806684353115
SPÓŁDZIELNIA USŁUGOWA VIG EKSPERT W WARSZAWIE;0000405458;7010330228;14592696600000;AL. JEROZOLIMSKIE 162;;02-342;WARSZAWA;;SPÓŁDZIELNIA;15.12.2011;52.20777915;20.944117698915072
SPÓŁDZIELNIA SOCJALNA "RODZINA;0000398081;9512349058;14582622000000;SUROWIECKIEGO 8;57;02-785;WARSZAWA;;SPÓŁDZIELNIA;05.10.2011;52.1597601;21.0207126
CHRZEŚCIJAŃSKA SPÓŁDZIELNIA SOCJALNA "NASZ DOMEK";0000397218;5222990388;14581820200000;FR. KAWY 42;8;01-496;WARSZAWA;;SPÓŁDZIELNIA;27.09.2011;52.26069605;20.922772903713614
AKCES LAB - SPÓŁDZIELNIA SOCJALNA W LIKWIDACJI;0000395090;1132845686;14487889200000;AL. WASZYNGTONA 41;68;04-015;WARSZAWA;;SPÓŁDZIELNIA;05.09.2011;52.2431068;21.0742891
SPÓŁDZIELNIA MIESZKANIOWA "TARCZYŃSKA";0000394357;5213613953;14402059000000;UL. TARCZYŃSKA 5/9;;02-025;WARSZAWA;;SPÓŁDZIELNIA;23.08.2011;52.2230504;20.9889606
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "SPÓŁDZIELNIA MIELECKA";0000382149;5262340308;00049136300000;CECYLII ŚNIEGOCKIEJ 10;;00-430;WARSZAWA;;SPÓŁDZIELNIA;30.03.2011;52.22670725;21.035683952511114
SPÓŁDZIELNIA SOCJALNA "POKÓJ SZTUKI";0000372163;1132824371;14270658900000;UL. RADZYMIŃSKA 53;40;03-751;WARSZAWA;;SPÓŁDZIELNIA;03.12.2010;52.260817900000006;21.053426619335028
WARSZAWSKA SPÓŁDZIELNIA MIESZKANIOWA "GRÓJECKA";0000367513;7010264460;14262889500000;GRÓJECKA 77;;02-094;WARSZAWA;;SPÓŁDZIELNIA;13.10.2010;52.2121274;20.9792249
POLIGRAFICZNA SPÓŁDZIELNIA PRACY INTROGRAFIA;0000363238;9522095352;14255200500000;UL. WIŚNIOWA 50;;02-520;WARSZAWA;;SPÓŁDZIELNIA;19.08.2010;52.2082469;21.0146208
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "BOWIG";0000347590;5261048818;00049030000000;FILTROWA 61;;02-056;WARSZAWA;;SPÓŁDZIELNIA;09.03.2010;52.218746800000005;20.997194841880642
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "PODLEŚNA";0000330634;1181389194;00090109700000;KIWERSKA 1;;01-682;WARSZAWA;;SPÓŁDZIELNIA;19.06.2009;52.284080599999996;20.972244106207636
SPÓŁDZIELNIA MIESZKANIOWA "PERKUN";0000329877;1132763310;14186125300000;PERKUNA 56;;04-180;WARSZAWA;;SPÓŁDZIELNIA;19.05.2009;52.233092600000006;21.10253618746044
SPÓŁDZIELNIA MIESZKANIOWA "STARY IMIELIN";0000328279;9512319353;14187783400000;BOCIANIA 28;;02-807;WARSZAWA;;SPÓŁDZIELNIA;22.04.2009;52.14919505;21.021222257079998
SPÓŁDZIELNIA "KOOPERATYWA POZARZĄDOWA";0000314716;7010183690;14163632600000;UL. CHODAKOWSKA 24;11;03-828;WARSZAWA;;SPÓŁDZIELNIA;06.10.2008;52.25002765;21.066929067816297
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "DROGOWIEC-KABATY";0000310852;5271044673;00139379200000;R.MIELCZARSKIEGO 5;;02-798;WARSZAWA;;SPÓŁDZIELNIA;31.07.2008;52.1291353;21.0600942
KRAJOWY ZWIĄZEK GRUP PRODUCENTÓW OWOCÓW I WARZYW - SPÓŁDZIELNIA OSÓB PRAWNYCH;0000306904;5252449469;14145682500000;ŚWIĘTOKRZYSKA 20;321;00-002;WARSZAWA;;SPÓŁDZIELNIA;29.05.2008;52.2358264;21.0102384
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA "NA BEDNARSKIEJ";0000287421;5251999535;00049005600000;BEDNARSKA 27;;00-321;WARSZAWA;;SPÓŁDZIELNIA;12.09.2007;52.244724149999996;21.015595068396667
SPÓŁDZIELNIA MIESZKANIOWA "IDEALNE MIESZKANIE-CENTRUM";0000283922;7010074073;14102905200000;HOŻA 43/49;;00-681;WARSZAWA;;SPÓŁDZIELNIA;29.06.2007;52.2252615;21.010239
SPÓŁDZIELNIA BUDOWLANO - MIESZKANIOWA "BOYA 2";0000279277;7010086490;14107813900000;BOYA-ŻELEŃSKIEGO 2;;00-621;WARSZAWA;;SPÓŁDZIELNIA;16.06.2007;52.2134549;21.0202299
SPÓŁDZIELNIA DOMÓW JEDNORODZINNYCH "IWONKA" W LIKWIDACJI;0000277030;5212183999;01062830500000;BRUZDOWA 105;;02-991;WARSZAWA;;SPÓŁDZIELNIA;23.03.2007;52.1696029;21.114978454411673
