nazwa,krs,nip,regon,adres,nr_lokalu,kod_pocztowy,miejscowosc,forma_prawna,data_rejestracji,szer,dlug
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""MARS""",0000125709,9520003185,00132776600000,MAŁA+2+WARSZAWA,1,03-423,WARSZAWA,SPÓŁDZIELNIA,08.08.2002,52.2578697,21.03656848156146
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""WSPÓLNY BLOK""",0000114376,5250006532,00049093200000,NIECAŁA+6+WARSZAWA,,00-098,WARSZAWA,SPÓŁDZIELNIA,24.07.2002,52.2427483,21.007979735863827
SPÓŁDZIELNIA MIESZKANIOWA WOLA,0000122732,5250006638,00081658100000,POWSTAŃCÓW+ŚLĄSKICH+104+WARSZAWA,227,01-466,WARSZAWA,SPÓŁDZIELNIA,11.07.2002,52.2544867,20.918276054369336
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""WSPÓLNY DOM""",0000122259,5251000075,00049154100000,WILLOWA+8/10+WARSZAWA,40,00-790,WARSZAWA,SPÓŁDZIELNIA,10.07.2002,52.2074533,21.0237031
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""MIASTO-OGRÓD-GAJ""",0000121880,5252261843,01524569000000,+ALEJE+JEROZOLIMSKIE+178+WARSZAWA,,02-486,WARSZAWA,SPÓŁDZIELNIA,08.07.2002,52.2029561,20.937397279142882
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA PRACOWNIKÓW KONSERWACJI ZABYTKÓW,0000097336,5251000282,00089075500000,CZERNIAKOWSKA+155+WARSZAWA,,00-453,WARSZAWA,SPÓŁDZIELNIA,03.07.2002,52.2148506,21.0454229
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""SKARB""",0000115183,5250007081,00049066500000,KOZIETULSKIEGO+10+WARSZAWA,,01-571,WARSZAWA,SPÓŁDZIELNIA,27.06.2002,52.2653569,20.984544231677763
"ROLNICZA SPÓŁDZIELNIA PRODUKCYJNA ""WIOSNA"" W WARSZAWIE",0000116228,5870201305,00104211800000,+FRANCISZKA+KLIMCZAKA+1+WARSZAWA,,02-797,WARSZAWA,SPÓŁDZIELNIA,25.06.2002,52.1635112,21.0815994
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""OGNISKO V""",0000114901,5251434773,00049077700000,MICKIEWICZA+4-16+WARSZAWA,,01-517,WARSZAWA,SPÓŁDZIELNIA,25.06.2002,52.2767885,20.9797809
"SPÓŁDZIELNIA MIESZKANIOWA ""RAZEM""",0000119513,1130396273,01059893000000,11+LISTOPADA+10+WARSZAWA,52,03-435,WARSZAWA,SPÓŁDZIELNIA,21.06.2002,52.2574555,21.034432377306146
SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA DOMINIUM,0000117882,5211178631,01142134500000,NIEDŹWIEDZIA+8+D+WARSZAWA,,02-737,WARSZAWA,SPÓŁDZIELNIA,13.06.2002,52.17605035,21.03337375307229
"SPÓŁDZIELNIA MIESZKANIOWA ""WSPÓLNIK""",0000114194,5251000661,01201989800000,KORDECKIEGO+56/58+WARSZAWA,,04-355,WARSZAWA,SPÓŁDZIELNIA,28.05.2002,52.2448706,21.096377919176128
"SPÓŁDZIELNIA MIESZKANIOWA ""AR - MOCZYDŁO"" W WARSZAWIE",0000112158,5250011119,01014397300000,MIELCZARSKIEGO+8+WARSZAWA,,02-798,WARSZAWA,SPÓŁDZIELNIA,16.05.2002,52.12915905,21.061676406868727
"WARSZAWSKA SPÓŁDZIELNIA OGRODNICZA ""OCHOTA""",0000112102,5250005403,01206304300000,RYŻOWA+49+WARSZAWA,,02-495,WARSZAWA,SPÓŁDZIELNIA,13.05.2002,52.1854083,20.905232907695677
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""FILTROWA""",0000096735,5250006437,00049036900000,FILTROWA+75+WARSZAWA,,02-032,WARSZAWA,SPÓŁDZIELNIA,30.04.2002,52.21870335,20.98892511964214
"SPÓŁDZIELNIA BUDOWLANO-MIESZKANIOWA ""MOKOTOWSKA""",0000082211,5250006549,00049088900000,MOKOTOWSKA+46+WARSZAWA,28,00-543,WARSZAWA,SPÓŁDZIELNIA,30.04.2002,52.2247614,21.0214512
"SPÓŁDZIELNIA MIESZKANIOWA ""NIEDŹWIADEK""",0000109342,5250012136,00049220400000,1+MAJA+5+WARSZAWA,1,02-495,WARSZAWA,SPÓŁDZIELNIA,25.04.2002,52.2457393,21.216527568397765
"MIĘDZYZAKŁADOWA SPÓŁDZIELNIA MIESZKANIOWA ""ENERGETYKA""",0000108125,5250007069,00048979700000,ZWIERZYNIECKA+8A+WARSZAWA,,00-719,WARSZAWA,SPÓŁDZIELNIA,22.04.2002,52.2076818,21.0512779
